PV1READ,Female,ESCS,METASUM,PERFEED,HOMEPOS,ADAPTIVITY,TEACHINT,ICTRES,JOYREAD,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,SWBP,MASTGOAL,BELONG,SCREADCOMP,SCREADDIFF,PISADIFF
505.927,Male,0.7782,0.59,2.0165,-0.0721,0.5464,1.3209,0.0895,-0.2704,1.0844,2.0054,1.8164,1.4083,-0.5928,1.8524,0.0348,-0.4419,0.409,-0.5536
585.005,Male,-0.311,0.21,2.0165,-1.2768,0.1067,0.6134,-1.8064,1.3493,1.0844,-0.9372,1.8164,-0.0845,-0.5928,0.917400789,-0.041928859,0.1222,1.1604,0.2705
411.117,Male,-0.4747,-1.994152551,-1.256,-1.9074,0.2757,-0.6079,-1.2275,-1.9715,0.0281,-2.345,-0.6545,0.5949,-1.566,0.5761,-0.9684,-0.7642,0.409,0.2705
581.309,Male,-0.2068,-0.57,1.3514,-0.6147,-0.4708,0.6134,-0.6461,0.5572,1.0844,-0.5707,0.5693,0.8794,0.7301,-0.8444,0.165,0.6994,-1.8876,-1.272
529.802,Male,-0.511,-0.57,0.7743,-1.3735,-0.0791,0.3684,-0.94,-0.0872,0.4626,0.1956,0.5693,-0.13,-0.5928,-0.094,-0.3184,0.1222,-0.0362,0.2705
587.934,Female,0.3165,0.21,1.1225,0.4346,0.1941,1.8245,0.0895,-0.3875,0.4667,0.6314,0.5693,0.4637,0.1869,1.4751,-0.3184,-0.4089,0.9065,0.7192
345.856,Male,-0.4521,-0.95,-0.6555,-1.2344,-0.5786,-0.2934,-1.4171,-1.3214,-0.6583,0.849,-0.1015,0.5949,-1.69,-0.2151,-0.9495,-0.849,2.0679,1.6524
429.26,Female,-0.2281,0.59,2.0165,-0.4121,0.2757,1.3209,-0.2047,-0.0176,1.0844,-0.2661,1.314427547,-0.13,1.2386,1.8524,1.4326,0.1222,-0.0362,0.2705
561.734,Male,0.463,0.98,-0.3253,-0.4663,0.1067,-0.3449,0.333,-0.1542,0.4667,0.1956,0.5693,0.052,0.1869,-0.4347,-0.3184,0.1222,-0.0697,0.2705
644.784,Male,-1.5946,0.684200809,-0.9181,-0.321,0.1941,-1.238,-0.3918,0.1667,-2.5375,2.0054,2.167179537,1.8905,1.2386,1.8524,-0.0401,1.8839,-0.1817,-1.272
