"Gender","ESCS","METASUM","HOMEPOS","ICTRES","JOYREAD","PV1READ"
1,1.5264,0.0865,1.5475,1.2041,0.6743,687.93
1,0.1269,0.925,0.9439,0.3453,1.118,562.34
1,-1.2617,0.0865,-0.978,-1.1171,0.4051,518.96
1,1.1931,0.0865,0.7021,-0.3586,1.118,631.61
1,0.6685,0.925,-0.6956,-1.1171,0.0665,602.37
1,-0.235,0.5058,-0.2419,-0.3586,0.8127,698.42
1,1.1931,-1.5905,0.7021,1.2041,0.6743,505.78
2,0.6499,-0.752,-0.0765,-0.3586,-0.4746,569.4
2,1.5825,-0.752,2.5602,1.2041,-0.4746,558.09
2,0.2693,-0.3327,-0.2419,-0.3586,0.417,478.73
2,-1.2015,-1.1713,0.1401,1.1674,-1.6151,374.67
2,0.1058,0.5058,0.2843,1.2041,-0.6909,534.36
2,0.8499,-2.0098,0.7021,1.2041,-0.3675,485.78
2,0.2665,-0.752,-0.2419,1.2041,-0.4746,485.62
2,0.1359,-1.1713,-0.2419,0.3453,-0.5824,573.73
1,-0.3643,0.5058,-0.2419,-0.3586,0.2959,539.62
1,1.1403,0.5058,0.7021,0.3453,1.118,586.25
1,1.0512,-1.5905,1.5475,0.3453,-0.6909,557.41
1,-0.4871,NA,-0.417,0.3453,-1.2973,303.2
1,0.9548,0.5058,0.0976,0.3453,-0.4746,723.2
1,-0.1075,1.3443,1.5475,1.2041,3.495,595.62
1,-0.2149,-0.3327,-0.3986,-0.3586,0.0665,492.51
1,1.054,0.0865,1.2196,0.3453,0.0665,606.9
1,0.1072,0.5058,0.2843,-0.3586,0.9601,633.28
1,0.5331,1.3443,0.7021,1.2041,0.9601,592.37
1,1.0076,1.3443,0.0976,-1.1171,0.8127,664.66
1,0.0336,-1.5905,0.0976,0.3453,0.9601,515.07
1,0.1811,1.3443,-0.3986,-0.3586,-0.3675,602.61
1,0.6852,0.5058,0.2843,0.3453,-0.1533,543.35
1,-0.0984,0.0865,0.0976,1.2041,-0.6909,439.28
1,1.4499,-0.3327,1.2196,1.2041,0.8127,549.07
1,0.1864,-0.3327,0.2843,-0.3586,-0.1533,462.88
2,0.8861,-0.3327,-0.0765,-0.3586,-3.2265,422.21
2,0.0336,-0.3327,0.0976,-0.3586,-0.2604,473.28
2,0.0414,0.5058,-0.0765,0.3453,0.1798,638.74
2,0.8209,-0.3327,-0.2419,-1.1171,-0.2604,566.75
2,0.342,-0.3327,0.2843,-1.1171,0.2959,504.86
2,1.1931,0.5058,0.7021,-0.3586,-0.1533,582.22
2,1.3413,-0.3327,0.9439,0.3453,-0.2604,595.53
2,0.1205,NA,NA,NA,NA,528.75
2,0.4758,-0.3327,-1.1173,-0.3586,0.0665,581.42
2,-0.5006,-0.3327,0.4835,1.2041,-0.5824,601.3
2,0.5507,-2.0098,-0.3986,0.3453,-0.4746,456.76
2,0.7373,0.5058,0.4835,-0.3586,-0.8022,453.96
2,0.606,1.3443,0.2843,-0.3586,0.8127,545.75
2,1.8987,0.0865,1.2196,1.2041,1.118,669.61
2,0.4219,0.0865,0.4835,1.2041,1.289,681.47
2,0.4018,1.3443,0.0976,1.2041,-2.4469,584.23
2,1.6908,NA,1.9644,1.2041,-1.8161,377.8
2,1.9521,-1.1713,2.5602,1.2041,-0.2604,558.66
1,0.9548,0.925,0.0976,0.3453,0.0665,647.74
1,1.1069,0.925,0.4835,0.3453,NA,671.89
1,1.5027,NA,1.2196,-0.3586,-0.1533,501.25
1,-0.2104,0.925,1.2196,1.2041,0.417,624.38
1,1.0522,-0.752,0.9439,1.2041,-0.8022,522.06
1,0.6324,NA,0.2843,0.3453,0.1798,611.43
1,0.9748,-0.752,1.2196,1.2041,-0.6909,485.68
1,-0.1451,-0.3327,-0.5495,-0.3586,0.0665,571.63
